JPW0007990.json	BILLY BAT	浦沢直樹	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4272/9784063884272.jpg?_ex=200x200
JPW0008000.json	MASTERキートン Reマスター	浦沢直樹	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7261/9784091867261.jpg?_ex=200x200
JPW0008080.json	あばしり一家	永井豪	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2530/25305659.jpg?_ex=200x200
JPW0008100.json	イヤハヤ南友	永井豪	
JPW0008150.json	ガクエン退屈男	永井豪	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1800/9784835451800.jpg?_ex=200x200
JPW0008270.json	黒の獅士	永井豪	
JPW0008380.json	手天童子	永井豪	
JPW0008470.json	凄ノ王	永井豪	
JPW0008480.json	ススムちゃん大ショック	永井豪	
JPW0008490.json	ズバ蛮	永井豪	
JPW0008620.json	デビルマン	永井豪	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0698/9784091870698.jpg?_ex=200x200
JPW0008710.json	ドロロンえん魔くん	永井豪	
JPW0008800.json	ハレンチ学園	永井豪	
JPW0008900.json	魔王ダンテ	永井豪	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2111/9784253232111.jpg?_ex=200x200
JPW0008930.json	マジンガーZ	永井豪	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2700/9784537132700.jpg?_ex=200x200
JPW0008980.json	真夜中の戦士	永井豪	
JPW0009360.json	伊賀の影丸	横山光輝	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2418/9784778032418.jpg?_ex=200x200
JPW0009370.json	仮面の忍者 赤影	横山光輝	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0870/9784253250870.jpg?_ex=200x200
JPW0009390.json	忍法十番勝負・十番勝負	横山光輝	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0448/9784253060448.jpg?_ex=200x200
JPW0009430.json	バビル2世	横山光輝	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1740/9784253151740.jpg?_ex=200x200
JPW0009440.json	その名は101	横山光輝	http://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317667.jpg?_ex=200x200
